Function,Best,Median,Mean,Worst,SD,best difference,mean difference,Function,Best,Median,Mean,Worst,SD
,,,,,,#VALUE!,5.80E+03,1,3.96E−01,5.38E+03,5.80E+03,2.11E+04,4.63E+03
3,8.79E+04,1.12E+05,1.14E+05,1.51E+05,1.49E+04,-2.78E+04,5.88E+02,3,6.01E+04,1.15E+05,1.15E+05,1.48E+05,2.15E+04
4,7.68E+01,1.59E+02,1.82E+02,2.87E+02,5.63E+01,7.81E+00,2.35E+01,4,8.46E+01,2.17E+02,2.05E+02,2.89E+02,4.57E+01
5,5.50E+01,7.23E+02,5.06E+02,8.14E+02,3.21E+02,1.76E+01,2.46E+01,5,7.26E+01,7.70E+02,5.31E+02,8.14E+02,3.39E+02
6,1.16E-05,8.99E-05,5.24E-03,6.33E-02,1.28E-02,#VALUE!,#VALUE!,6,1.25E−05,6.83E−05,1.72E−03,3.14E−02,6.46E−03
7,7.96E+02,8.77E+02,8.72E+02,9.04E+02,2.22E+01,3.71E+01,2.63E+00,7,8.33E+02,8.76E+02,8.75E+02,9.16E+02,1.83E+01
8,5.65E+01,7.52E+02,5.43E+02,8.21E+02,3.18E+02,2.54E+00,-5.14E+01,8,5.90E+01,7.36E+02,4.92E+02,8.18E+02,3.41E+02
9,1.69E+00,7.81E+00,8.07E+00,2.28E+01,4.30E+00,3.76E+00,3.92E-01,9,5.45E+00,7.69E+00,8.46E+00,1.72E+01,3.41E+00
10,2.83E+04,2.94E+04,2.94E+04,3.05E+04,5.18E+02,3.98E+02,1.36E+02,10,2.87E+04,2.94E+04,2.95E+04,3.04E+04,4.44E+02
11,1.83E+02,2.67E+02,2.80E+02,4.72E+02,6.93E+01,-2.18E+01,-2.46E+00,11,1.61E+02,2.65E+02,2.78E+02,4.64E+02,6.85E+01
12,1.81E+04,4.97E+04,6.27E+04,3.39E+05,5.42E+04,4.40E+03,2.07E+04,12,2.25E+04,6.53E+04,8.34E+04,3.23E+05,7.52E+04
13,4.67E+01,2.02E+03,3.01E+03,1.31E+04,2.69E+03,4.96E+00,1.88E+02,13,5.17E+01,2.85E+03,3.20E+03,9.31E+03,2.64E+03
14,4.94E+02,2.67E+03,3.53E+03,1.42E+04,2.96E+03,-1.64E+02,1.11E+03,14,3.30E+02,2.53E+03,4.64E+03,1.69E+04,4.47E+03
15,3.23E+01,5.13E+02,9.08E+02,5.14E+03,1.03E+03,-3.24E-01,-1.75E+02,15,3.20E+01,4.23E+02,7.33E+02,5.20E+03,1.09E+03
16,1.51E+02,9.35E+02,1.99E+03,6.61E+03,2.13E+03,1.36E+02,2.82E+02,16,2.87E+02,8.25E+02,2.27E+03,7.04E+03,2.61E+03
17,2.11E+03,4.05E+03,3.98E+03,4.69E+03,4.72E+02,2.82E+01,-6.60E+01,17,2.14E+03,4.12E+03,3.91E+03,4.59E+03,6.68E+02
18,8.77E+03,4.36E+04,5.15E+04,1.52E+05,2.95E+04,1.05E+04,5.85E+03,18,1.93E+04,4.43E+04,5.73E+04,1.87E+05,3.63E+04
19,4.01E+01,5.85E+02,1.20E+03,1.05E+04,1.82E+03,1.03E+01,-2.01E+02,19,5.04E+01,8.41E+02,1.00E+03,3.25E+03,8.30E+02
20,3.91E+03,4.34E+03,4.34E+03,4.93E+03,2.34E+02,5.80E+01,1.16E+02,20,3.97E+03,4.52E+03,4.46E+03,4.80E+03,2.22E+02
21,2.78E+02,3.20E+02,5.65E+02,1.02E+03,3.19E+02,4.73E+00,4.21E+01,21,2.83E+02,3.29E+02,6.07E+02,1.02E+03,3.37E+02
22,2.78E+04,3.01E+04,2.99E+04,3.14E+04,6.94E+02,7.70E+02,5.53E+01,22,2.86E+04,3.01E+04,3.00E+04,3.09E+04,4.57E+02
23,5.79E+02,6.12E+02,6.11E+02,6.41E+02,1.54E+01,7.17E+00,4.85E-01,23,5.86E+02,6.11E+02,6.11E+02,6.49E+02,1.58E+01
24,9.02E+02,9.28E+02,9.28E+02,9.62E+02,1.39E+01,-1.25E+01,4.27E+00,24,8.89E+02,9.33E+02,9.32E+02,9.69E+02,1.70E+01
25,7.04E+02,8.21E+02,8.13E+02,8.94E+02,4.57E+01,5.70E+01,8.05E+00,25,7.61E+02,8.20E+02,8.21E+02,8.99E+02,4.34E+01
26,3.37E+03,3.67E+03,3.73E+03,4.24E+03,1.96E+02,-4.30E+01,-6.82E+01,26,3.33E+03,3.63E+03,3.66E+03,3.96E+03,1.78E+02
27,5.98E+02,6.56E+02,6.57E+02,8.05E+02,3.17E+01,2.18E+01,3.49E-01,27,6.20E+02,6.46E+02,6.57E+02,7.30E+02,3.07E+01
28,4.99E+02,5.54E+02,5.57E+02,6.42E+02,2.77E+01,-3.22E-01,-4.21E+00,28,4.99E+02,5.57E+02,5.53E+02,6.09E+02,3.25E+01
29,8.79E+02,1.16E+03,1.22E+03,1.69E+03,2.06E+02,3.33E+01,-1.39E+01,29,9.12E+02,1.21E+03,1.21E+03,1.56E+03,1.74E+02
30,2.52E+03,2.93E+03,3.49E+03,1.09E+04,1.49E+03,-1.11E+02,-5.02E+02,30,2.41E+03,3.02E+03,2.99E+03,3.72E+03,2.73E+02
