Function,Best,Median,Mean,Worst,SD,,,Function,Best,Median,Mean,Worst,SD
,,,,,,0.00E+00,0.00E+00,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3,0.00E+00,3.00E-08,6.83E-08,6.01E-07,1.09E-07,0.00E+00,#VALUE!,3,0.00E+00,5.66E−08,7.07E−07,8.54E−06,1.82E−06
4,2.43E-03,4.00E+00,7.58E+00,7.23E+01,1.75E+01,#VALUE!,3.52E+00,4,9.28E−03,4.00E+00,1.11E+01,7.25E+01,2.17E+01
5,1.31E+02,1.59E+02,1.59E+02,1.73E+02,7.92E+00,4.74E+00,1.37E+00,5,1.36E+02,1.62E+02,1.60E+02,1.73E+02,8.87E+00
6,0.00E+00,1.37E-07,8.08E-07,9.34E-06,1.46E-06,0.00E+00,#VALUE!,6,0.00E+00,5.47E−07,1.52E−06,8.42E−06,2.36E−06
7,1.59E+02,1.88E+02,1.88E+02,2.03E+02,9.56E+00,5.14E+00,-1.00E+00,7,1.64E+02,1.87E+02,1.87E+02,1.99E+02,8.40E+00
8,1.34E+02,1.58E+02,1.58E+02,1.75E+02,8.81E+00,-1.03E+01,-2.60E+00,8,1.24E+02,1.56E+02,1.55E+02,1.73E+02,1.11E+01
9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
10,6.04E+03,6.75E+03,6.74E+03,7.20E+03,2.56E+02,-1.97E+02,-5.18E+01,10,5.84E+03,6.68E+03,6.69E+03,7.16E+03,3.54E+02
11,1.52E+00,7.83E+00,2.88E+01,9.42E+01,3.47E+01,#VALUE!,4.18E+00,11,6.00E−01,8.57E+00,3.30E+01,9.85E+01,3.83E+01
12,5.61E+02,5.61E+03,6.35E+03,1.57E+04,3.91E+03,4.69E+02,2.71E+02,12,1.03E+03,5.32E+03,6.62E+03,1.91E+04,4.59E+03
13,5.65E+01,7.98E+01,9.88E+01,2.71E+02,4.02E+01,-1.04E+01,-4.57E-01,13,4.61E+01,9.11E+01,9.83E+01,1.82E+02,3.42E+01
14,4.22E+01,5.51E+01,5.51E+01,6.60E+01,5.30E+00,4.98E+00,1.84E+00,14,4.72E+01,5.73E+01,5.69E+01,6.65E+01,5.49E+00
15,2.70E+00,1.08E+01,1.44E+01,3.52E+01,8.78E+00,-5.68E-01,6.28E-02,15,2.13E+00,9.17E+00,1.45E+01,7.48E+01,1.49E+01
16,1.54E+02,7.36E+02,7.70E+02,1.25E+03,2.27E+02,2.81E+02,2.56E+01,16,4.35E+02,7.76E+02,7.96E+02,1.15E+03,1.94E+02
17,6.10E+01,1.66E+02,1.76E+02,3.15E+02,8.14E+01,1.81E+00,1.30E+01,17,6.28E+01,2.04E+02,1.89E+02,3.77E+02,9.44E+01
18,2.42E+01,3.51E+01,3.60E+01,6.43E+01,8.46E+00,-1.68E+00,7.82E-01,18,2.25E+01,3.69E+01,3.68E+01,4.80E+01,5.42E+00
19,4.79E+00,1.14E+01,1.34E+01,2.33E+01,5.83E+00,-1.37E+00,-4.71E-01,19,3.42E+00,1.13E+01,1.29E+01,2.22E+01,6.02E+00
20,2.22E+01,3.53E+01,9.87E+01,4.44E+02,1.18E+02,-2.08E+01,9.30E+00,20,1.34E+00,5.51E+01,1.08E+02,4.51E+02,1.14E+02
21,3.06E+02,3.48E+02,3.47E+02,3.67E+02,1.12E+01,1.35E+01,-1.27E+00,21,3.20E+02,3.49E+02,3.46E+02,3.55E+02,8.30E+00
22,1.00E+02,1.00E+02,1.00E+02,1.00E+02,8.83E-14,-4.55E-13,-4.69E-13,22,1.00E+02,1.00E+02,1.00E+02,1.00E+02,0.00E+00
23,3.53E+02,4.91E+02,4.77E+02,5.18E+02,4.30E+01,-2.71E+00,-6.83E+00,23,3.50E+02,4.86E+02,4.70E+02,5.07E+02,4.49E+01
24,4.22E+02,5.70E+02,5.60E+02,5.82E+02,3.18E+01,1.07E+02,8.02E+00,24,5.29E+02,5.70E+02,5.68E+02,5.86E+02,1.45E+01
25,3.83E+02,3.87E+02,3.87E+02,3.87E+02,7.21E-01,3.58E+00,1.37E-01,25,3.87E+02,3.87E+02,3.87E+02,3.87E+02,2.11E−01
26,3.00E+02,9.61E+02,1.11E+03,2.45E+03,4.98E+02,3.93E+02,-1.18E+02,26,6.93E+02,9.56E+02,9.87E+02,2.12E+03,2.49E+02
27,4.85E+02,4.94E+02,4.95E+02,5.09E+02,6.26E+00,-4.54E+00,-1.91E+00,27,4.80E+02,4.92E+02,4.93E+02,5.14E+02,8.02E+00
28,3.00E+02,3.00E+02,3.11E+02,4.14E+02,3.28E+01,0.00E+00,1.02E+01,28,3.00E+02,3.00E+02,3.21E+02,4.04E+02,4.22E+01
29,3.47E+02,5.34E+02,5.59E+02,8.07E+02,1.18E+02,7.61E+01,1.81E+01,29,4.23E+02,5.92E+02,5.77E+02,7.69E+02,1.01E+02
30,1.95E+03,2.06E+03,2.07E+03,2.61E+03,1.02E+02,-5.78E+00,1.18E+01,30,1.94E+03,2.09E+03,2.08E+03,2.36E+00,9.27E+01
